,text,Does the sentence describe a personal reflection or thought?,Does the sentence contain a proper noun?,Does the sentence describe a physical action?,Does the sentence describe a personal or social interaction that leads to a change or revelation?,Does the sentence involve the mention of a specific object or item?,Does the sentence involve a description of physical environment or setting?,Does the sentence describe a relationship between people?,Does the sentence mention a specific location?,Is time mentioned in the input?,Is the sentence abstract rather than concrete?,Does the sentence express the narrator's opinion or judgment about an event or character?,Is the input related to a specific industry or profession?,Does the sentence include dialogue?,Does the sentence describe a visual experience or scene?,Does the input involve planning or organizing?,Does the sentence involve spatial reasoning?,Does the sentence involve an expression of personal values or beliefs?,Does the sentence contain a negation?,Does the sentence describe a sensory experience?,Does the sentence include technical or specialized terminology?,Does the input contain a number?,Does the sentence contain a cultural reference?,Does the text describe a mode of communication?,Does the input include a comparison or metaphor?,Does the sentence express a sense of belonging or connection to a place or community?,Does the sentence describe a specific sensation or feeling?,Does the text include a planning or decision-making process?,Does the sentence include a personal anecdote or story?,Does the sentence involve a discussion about personal or social values?,Does the text describe a journey?,Does the input contain a measurement?,Does the sentence describe a physical sensation?,Does the sentence include a direct speech quotation?,"Is the sentence reflective, involving self-analysis or introspection?",Does the input describe a specific texture or sensation?
0,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,i reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,i reached over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,i reached over and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,i reached over and secretly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,i reached over and secretly undid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,i reached over and secretly undid my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,i reached over and secretly undid my seatbelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,i reached over and secretly undid my seatbelt and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,i reached over and secretly undid my seatbelt and when,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,i reached over and secretly undid my seatbelt and when his,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,reached over and secretly undid my seatbelt and when his foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,over and secretly undid my seatbelt and when his foot hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,and secretly undid my seatbelt and when his foot hit the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,secretly undid my seatbelt and when his foot hit the brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,undid my seatbelt and when his foot hit the brake at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,my seatbelt and when his foot hit the brake at the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,seatbelt and when his foot hit the brake at the red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,and when his foot hit the brake at the red light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,when his foot hit the brake at the red light i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
