,0
0,abilities
1,ability
2,able
3,abstract
4,access
5,accordance
6,accordingly
7,accuracy
8,accurately
9,achieve
10,achieved
11,action observation
12,actions
13,actively
14,activities
15,acts
16,actually
17,adaptation
18,addition
19,additionally
20,advantage
21,agreement
22,allocation
23,alternative
24,ambiguous
25,anger
26,angry
27,anticipation
28,apparent
29,application
30,apply
31,appraisal
32,approach
33,appropriate
34,approximately
35,architecture
36,argue
37,arise
38,arithmetic
39,aspects
40,assess
41,assume
42,assumption
43,attempt
44,attend
45,attention
46,attentional control
47,attribution
48,automatic
49,automatically
50,available
51,average
52,avoid
53,avoidance
54,awareness
55,background
56,balance
57,basic
58,basis
59,beginning
60,behavioral evidence
61,behavioral level
62,behavioral measures
63,behavioral performance
64,behavioral responses
65,behaviorally
66,behaviors
67,behaviour
68,behavioural
69,beliefs
70,beneficial
71,benefits
72,best
73,better
74,better understanding
75,bias
76,biased
77,biases
78,brief
79,broad
80,broader
81,calculation
82,capacity
83,capture
84,categorical
85,categories
86,categorization
87,category
88,causal
89,causality
90,central role
91,certain
92,change
93,characteristics
94,characterization
95,characterize
96,characters
97,choices
98,choose
99,clarify
100,class
101,classic
102,classical
103,classification
104,clearly
105,closely
106,code
107,coding
108,cognition
109,cognitive control
110,cognitive emotional
111,cognitive functions
112,cognitive performance
113,cognitive processes
114,cognitive tasks
115,cognitively
116,coherence
117,coherent
118,collectively
119,color
120,commonly
121,communication
122,comparable
123,compare
124,compatible
125,compensate
126,compensation
127,complementary
128,completely
129,complex
130,complexity
131,comprehension
132,comprehensive
133,computation
134,computational
135,concentration
136,concepts
137,conceptual
138,conclude
139,conclusion
140,concrete
141,concurrently
142,confidence
143,confirm
144,conflict
145,conscious
146,consciousness
147,consequently
148,consider
149,considerable
150,consistency
151,consistently
152,consolidation
153,constant
154,constitute
155,construct
156,construction
157,continuously
158,contrary
159,controversial
160,conventional
161,conversely
162,correctly
163,correspond
164,critical role
165,critically
166,crucial role
167,crucially
168,currently
169,daily
170,daily life
171,date
172,debate
173,decision making
174,deep
175,define
176,delay
177,depth
178,despite
179,detailed
180,detect
181,determine
182,develop
183,difference
184,differentiate
185,differentiation
186,differently
187,difficult
188,difficulty
189,dimensional
190,directly
191,discrete
192,discriminate
193,discuss
194,disentangle
195,disgust
196,distance
197,distinction
198,distinguish
199,diverse
200,double
201,dual
202,duration
203,dynamically
204,earlier
205,early
206,easy
207,economic
208,effectively
209,efficiency
210,efficient
211,effort
212,elucidate
213,elusive
214,emerge
215,emergence
216,emotion regulation
217,emotionally
218,empathic
219,empathy
220,emphasize
221,empirical
222,encode
223,enhancement
224,entire
225,equally
226,equivalent
227,especially
228,essential
229,establish
230,estimation
231,evaluate
232,everyday
233,everyday life
234,evident
235,evoke
236,evolution
237,exact
238,example
239,excessive
240,exclusively
241,executive control
242,exert
243,expertise
244,explain
245,explanation
246,explicitly
247,exploration
248,explore
249,extension
250,extensively
251,externally
252,extra
253,extract
254,face recognition
255,fact
256,factorial
257,false
258,familiar
259,familiarity
260,family
261,fashion
262,fast
263,faster
264,fear
265,fearful
266,fewer
267,finally
268,fine
269,flexibility
270,flexible
271,flexibly
272,flow
273,fluency
274,focus
275,follow
276,framework
277,free
278,frequently
279,fully
280,functionally
281,fundamental
282,furthermore
283,future
284,generally
285,generate
286,generation
287,global
288,goal directed
289,good
290,great
291,greater
292,greatest
293,guide
294,happy
295,help
296,heterogeneous
297,hierarchical
298,higher
299,highest
300,highly
301,hypothesize
302,idea
303,identical
304,identification
305,identify
306,identity
307,illusion
308,illustrate
309,imagery
310,imagine
311,imitation
312,immediately
313,imply
314,importance
315,importantly
316,inconsistent
317,incorrect
318,increasingly
319,independently
320,indirect
321,individually
322,infer
323,inferences
324,inform
325,information
326,inhibit
327,initially
328,instead
329,integrate
330,integration
331,intense
332,intensity
333,intentional
334,interactive
335,interestingly
336,internally
337,interpret
338,interpretation
339,inversely
340,irrelevant
341,irrespective
342,isolate
343,judge
344,just
345,language comprehension
346,largely
347,larger
348,late
349,later
350,learn
351,lesser
352,likelihood
353,likely
354,linearly
355,long
356,longer
357,low
358,lower
359,mainly
360,maintain
361,major
362,make
363,manifest
364,manner
365,match
366,maximal
367,maximum
368,meaningful
369,minimal
370,mixed
371,monitor
372,moral
373,multi
374,multiple
375,naive
376,natural
377,necessary
378,neutral
379,newly
380,normally
381,notably
382,notion
383,novel
384,obtain
385,ongoing
386,online
387,opportunity
388,optimal
389,overall
390,overcome
391,overlap
392,partially
393,participate
394,particularly
395,partly
396,passively
397,past
398,perceive
399,perform
400,persistent
401,pleasant
402,poorer
403,poorly
404,possibility
405,possible
406,possibly
407,potentially
408,powerful
409,precise
410,predictive
411,predominantly
412,presumably
413,previous
414,primarily
415,probably
416,produce
417,progressive
418,prolonged
419,prominent
420,promising
421,pronounced
422,proper
423,propose
424,pure
425,purpose
426,putative
427,quantify
428,randomly
429,rapidly
430,rarely
431,reach
432,real
433,reappraisal
434,receive
435,recently
436,recognize
437,regardless
438,regulate
439,relatively
440,relevance
441,relevant
442,reliability
443,reliable
444,reliably
445,remain
446,remarkably
447,remember
448,remote
449,repeat
450,repeatedly
451,replicate
452,representational
453,resolve
454,respectively
455,responsive
456,reverse
457,rewarding
458,rich
459,risky
460,robust
461,sad
462,salient
463,select
464,selectively
465,semantically
466,sensitive
467,sensitivity
468,sentence comprehension
469,separately
470,sequential
471,share
472,short
473,shorter
474,silent
475,similarly
476,simple
477,simply
478,simultaneously
479,single
480,slow
481,slower
482,small
483,smaller
484,socially
485,sparse
486,special
487,specifically
488,spontaneous
489,stable
490,striking
491,strongest
492,strongly
493,subjective
494,subsequently
495,substantially
496,subtle
497,successfully
498,successive
499,sufficient
500,surprisingly
501,sustained
502,systematic
503,systematically
504,tend
505,theoretical
506,total
507,traditionally
508,transient
509,true
510,typically
511,uncertain
512,uncertainty
513,unclear
514,understand
515,unexpected
516,unfamiliar
517,uniquely
518,unlike
519,unpleasant
520,unrelated
521,useful
522,usually
523,valid
524,valuable
525,varied
526,vary
527,voluntary
528,weak
529,weaker
530,whilst
531,widely
532,widespread
533,worse
